number_draw,date,winning_number_1,winning_number_2,winning_number_3,winning_number_4,winning_number_5,winning_number_6,additional_number,Group 1 Share Amount,Group 2 Share Amount,Group 3 Share Amount,Group 4 Share Amount,Group 5 Share Amount,Group 6 Share Amount,Group 7 Share Amount,Group 1 No.winning,Group 2 No.winning,Group 3 No.winning,Group 4 No.winning,Group 5 No.winning,Group 6 No.winning,Group 7 No.winning,year,month,day_of_week,Odd,Even,1 to 9,10 to 19,20 to 29,30 to 39,40 to 49,Total,Average,SD,gap_mean,gap_sd,Total winners,consecutive numbers,count_repeated_numbers,repeated_numbers,repeated_numbers_1,repeated_numbers_2,repeated_numbers_3,repeated_numbers_4
3836,2023-01-20,15,29,35,47,48,49,10,3133188,119931,1738,375,50,25,10,2,11,522,1322,26323,35396,470207,2023,1,Friday,5,2,0,2,1,1,3,233,33.29,16.07,6.5,4.99,533783,2,1,[np.int64(15)],15,0,0,0
3837,2023-01-23,22,30,31,39,43,49,3,0,90615,1888,486,50,25,10,0,3,99,210,4423,7054,83613,2023,1,Monday,5,2,1,0,1,3,2,217,31.0,15.26,7.67,5.62,95402,1,1,[np.int64(49)],49,0,0,0
3838,2023-01-26,2,21,34,40,43,45,13,0,87074,2495,437,50,25,10,0,5,120,374,7159,11165,143356,2023,1,Thursday,4,3,1,1,1,1,3,198,28.29,16.55,7.17,3.98,162179,0,1,[np.int64(43)],43,0,0,0
3839,2023-01-30,13,23,25,26,44,45,38,7239827,136161,1978,416,50,25,10,1,6,284,738,15785,21962,300212,2023,1,Monday,4,3,0,1,3,1,2,214,30.57,11.98,5.33,4.38,338988,2,2,"[np.int64(45), np.int64(13)]",45,13,0,0
3840,2023-02-03,4,6,21,25,34,40,48,4270035,122585,1871,417,50,25,10,3,22,991,2428,54830,70091,1015337,2023,2,Friday,2,5,2,0,2,1,2,178,25.43,16.59,7.33,4.15,1143702,0,1,[np.int64(25)],25,0,0,0
3841,2023-02-06,6,10,15,19,20,30,5,1346894,12329,883,102,50,25,10,1,23,221,1050,9133,17360,137248,2023,2,Monday,3,4,2,3,1,1,0,105,15.0,8.87,4.17,3.02,165036,1,1,[np.int64(6)],6,0,0,0
3842,2023-02-09,18,20,27,37,43,47,10,0,142817,1964,429,50,25,10,0,2,100,250,4858,7322,93339,2023,2,Thursday,4,3,0,2,2,1,2,202,28.86,13.85,6.17,2.61,105871,0,2,"[np.int64(10), np.int64(20)]",10,20,0,0
3843,2023-02-13,5,12,23,28,31,39,37,1070984,78156,1179,346,50,25,10,3,5,228,424,10944,11177,182347,2023,2,Monday,5,2,1,1,2,3,0,175,25.0,12.64,5.67,2.92,205128,0,1,[np.int64(37)],37,0,0,0
3844,2023-02-16,3,10,16,24,42,46,25,0,267935,1900,404,50,25,10,0,1,97,249,5809,7029,104053,2023,2,Thursday,2,5,1,2,2,0,2,166,23.71,15.86,7.17,4.95,117238,0,0,0,0,0,0,0
3845,2023-02-20,4,9,21,22,25,41,18,0,188257,1523,330,50,25,10,0,2,170,429,8900,12329,163591,2023,2,Monday,4,3,2,1,3,0,1,140,20.0,11.92,6.17,5.05,185421,1,1,[np.int64(25)],25,0,0,0
3846,2023-02-23,2,5,19,24,34,44,37,1980493,67377,1358,343,50,25,10,3,9,307,663,13361,15909,248293,2023,2,Thursday,3,4,2,1,1,2,1,165,23.57,16.01,7.0,3.96,278545,0,0,0,0,0,0,0
3847,2023-02-27,6,26,32,39,44,48,11,0,0,2187,482,50,25,10,0,0,86,213,4649,7024,88144,2023,2,Monday,2,5,1,1,1,2,2,206,29.43,16.1,7.0,3.7,100116,0,1,[np.int64(44)],44,0,0,0
3848,2023-03-02,15,22,24,26,29,36,28,2998982,210455,1783,296,50,25,10,1,3,138,454,7431,11221,134430,2023,3,Thursday,2,5,0,1,5,1,0,180,25.71,6.5,3.5,2.5,153678,0,1,[np.int64(26)],26,0,0,0
3849,2023-03-06,21,30,35,36,37,45,1,0,89338,2525,484,50,25,10,0,3,73,208,4681,6389,86248,2023,3,Monday,5,2,1,0,1,4,1,205,29.29,14.45,7.33,6.45,97602,2,1,[np.int64(36)],36,0,0,0
3850,2023-03-09,1,10,30,31,38,45,11,0,357508,1586,277,50,25,10,0,1,155,484,7938,12697,134081,2023,3,Thursday,4,3,1,2,0,3,1,166,23.71,16.41,7.33,6.05,155356,1,3,"[np.int64(1), np.int64(45), np.int64(30)]",1,45,30,0
3851,2023-03-13,1,3,15,18,23,48,41,5813337,85478,1491,396,50,25,10,1,7,276,568,14891,15978,266381,2023,3,Monday,5,2,2,2,1,0,2,149,21.29,17.8,7.83,5.58,298102,0,1,[np.int64(1)],1,0,0,0
3852,2023-03-16,4,14,30,33,37,42,22,0,127669,1810,475,50,25,10,0,2,97,202,4525,6397,85387,2023,3,Thursday,2,5,1,1,1,3,1,182,26.0,13.45,6.33,2.49,96610,0,0,0,0,0,0,0
3853,2023-03-20,7,8,15,27,34,38,37,0,72255,1479,334,50,25,10,0,5,168,406,9035,10468,161496,2023,3,Monday,4,3,2,1,1,3,0,166,23.71,13.54,5.17,3.93,181578,2,1,[np.int64(37)],37,0,0,0
3854,2023-03-23,14,21,26,29,37,40,7,0,82218,1931,405,50,25,10,0,7,205,533,10329,16076,192313,2023,3,Thursday,4,3,1,1,3,1,1,174,24.86,11.88,5.5,1.98,219463,0,2,"[np.int64(37), np.int64(7)]",37,7,0,0
3855,2023-03-27,1,4,17,28,43,45,29,2864243,110897,1812,397,50,25,10,4,11,463,1153,25482,32799,473350,2023,3,Monday,5,2,2,1,2,0,2,167,23.86,17.42,7.33,5.44,533262,0,1,[np.int64(29)],29,0,0,0
3856,2023-03-30,12,26,34,39,41,49,16,1145077,80357,2335,419,50,25,10,1,3,71,216,3920,6151,76731,2023,3,Thursday,3,4,0,2,1,2,2,217,31.0,13.59,6.17,2.73,87093,0,0,0,0,0,0,0
3857,2023-04-03,13,27,28,42,44,45,1,0,127827,1911,446,50,25,10,0,2,92,215,4413,6514,85752,2023,4,Monday,4,3,1,1,2,0,3,200,28.57,16.8,7.33,6.05,96988,2,0,0,0,0,0,0
3858,2023-04-06,6,7,31,42,46,47,27,0,0,2047,535,50,25,10,0,0,115,240,6465,8625,122739,2023,4,Thursday,4,3,2,0,1,1,3,206,29.43,17.33,6.83,6.77,138184,2,2,"[np.int64(42), np.int64(27)]",42,27,0,0
